Breakthrough Event,Date,SMA,ClosePrice
LOWER,5/16/1995,32.663,23.25
LOWER,5/17/1995,31.513,22.5
LOWER,5/18/1995,30.375,22.37
LOWER,5/19/1995,29.312,22.37
LOWER,5/22/1995,28.174,22.25
LOWER,5/23/1995,27.086,22.37
LOWER,5/24/1995,25.936,21.5
LOWER,5/25/1995,24.623,20.75
LOWER,5/26/1995,23.31,20.87
LOWER,1/15/1996,28.875,25.75
LOWER,1/16/1996,28.225,25
LOWER,1/18/1996,27.212,24.5
LOWER,8/19/1996,34.002,23.5
LOWER,8/20/1996,32.952,24.38
LOWER,8/21/1996,31.877,24.5
LOWER,8/22/1996,30.839,24.5
LOWER,8/23/1996,29.701,24.25
LOWER,8/26/1996,28.563,24.25
LOWER,8/27/1996,27.513,24.62
UPPER,2/10/1997,31.288,35.5
UPPER,2/11/1997,31.738,35.13
UPPER,2/12/1997,32.313,35.63
UPPER,2/13/1997,32.975,36.87
LOWER,5/27/1997,37.689,26.5
LOWER,5/28/1997,36.501,27
LOWER,5/29/1997,35.238,26.25
LOWER,5/30/1997,33.938,25.88
LOWER,6/2/1997,32.676,26.38
LOWER,6/3/1997,31.45,26.12
LOWER,6/4/1997,30.262,26.12
LOWER,7/14/1997,27.575,24.81
LOWER,10/27/1997,24.449,22
LOWER,12/19/1997,22.657,20.44
UPPER,1/5/1998,21.743,24
LOWER,7/15/1998,21.349,19
LOWER,7/16/1998,20.962,18.88
LOWER,7/17/1998,20.468,17.81
LOWER,7/20/1998,19.918,17
LOWER,7/21/1998,19.48,17.56
LOWER,7/22/1998,19.074,16.94
LOWER,7/23/1998,18.618,16.31
LOWER,7/24/1998,18.062,15.31
LOWER,7/27/1998,17.488,15.13
LOWER,8/13/1998,15.268,13.56
LOWER,8/18/1998,14.456,12.62
LOWER,8/19/1998,14.18,12.62
LOWER,8/20/1998,13.942,12.31
LOWER,8/21/1998,13.53,11.94
LOWER,8/26/1998,12.58,11
LOWER,8/27/1998,12.274,10.5
LOWER,8/31/1998,11.711,10.56
LOWER,9/1/1998,11.393,9.44
LOWER,9/2/1998,11.075,9.44
LOWER,9/3/1998,10.769,9.25
LOWER,9/4/1998,10.475,9
LOWER,9/8/1998,10.125,9.06
LOWER,9/9/1998,9.763,8.44
UPPER,9/16/1998,9.294,10.69
UPPER,9/17/1998,9.456,11.06
UPPER,9/18/1998,9.744,12.13
UPPER,9/21/1998,10.213,13.69
UPPER,9/22/1998,10.582,12.75
UPPER,9/23/1998,11.013,12.75
UPPER,9/24/1998,11.413,12.75
UPPER,9/25/1998,11.857,13.5
LOWER,9/28/1998,11.913,10.37
LOWER,9/30/1998,12.126,10.88
LOWER,10/1/1998,12.014,9.94
LOWER,10/2/1998,11.832,10.31
LOWER,10/5/1998,11.444,9.81
LOWER,10/6/1998,11.119,9.5
LOWER,10/7/1998,10.782,9.38
LOWER,10/8/1998,10.388,8.81
UPPER,10/15/1998,9.919,11
UPPER,10/16/1998,10,11.12
UPPER,10/21/1998,10.524,11.87
UPPER,10/22/1998,10.887,12.44
UPPER,10/23/1998,11.318,13.69
UPPER,10/26/1998,11.687,13.75
UPPER,10/27/1998,12.056,14.19
LOWER,12/9/1998,12.782,11.38
LOWER,12/10/1998,12.532,11.06
UPPER,12/29/1998,11.95,13.25
LOWER,1/13/1999,12.506,11.19
UPPER,4/22/1999,10.15,11.56
UPPER,4/23/1999,10.412,12.31
UPPER,4/26/1999,10.712,12.38
UPPER,4/27/1999,11.012,12.5
LOWER,7/27/1999,12.738,11.38
LOWER,12/9/1999,10.387,9.31
UPPER,2/4/2000,9.783,12.06
UPPER,2/7/2000,9.939,11.5
UPPER,2/8/2000,10.02,11.12
UPPER,2/14/2000,10.568,11.94
UPPER,3/17/2000,11.069,12.75
UPPER,3/20/2000,11.294,13.31
UPPER,3/21/2000,11.518,13.12
UPPER,3/22/2000,11.73,13.06
LOWER,3/31/2000,12.43,11
UPPER,4/12/2000,12.006,13.25
UPPER,7/10/2000,10.2,12
UPPER,9/7/2000,10.949,12.44
LOWER,9/8/2000,10.855,9.5
LOWER,9/11/2000,10.786,9.62
UPPER,12/8/2000,12.4,13.69
UPPER,12/11/2000,12.656,14.12
UPPER,12/27/2000,13.931,15.81
UPPER,12/28/2000,14.224,16.56
UPPER,1/16/2001,16.418,18.56
UPPER,1/18/2001,17.05,19
LOWER,1/19/2001,16.894,14.5
LOWER,1/22/2001,16.713,14
LOWER,1/25/2001,16.32,14.19
LOWER,1/26/2001,16.039,14.19
LOWER,1/29/2001,15.685,14.09
UPPER,4/18/2001,14.657,16.55
UPPER,7/16/2001,16.631,18.49
UPPER,7/17/2001,16.941,19.2
UPPER,7/18/2001,17.201,19
LOWER,9/7/2001,18.336,16.5
LOWER,9/17/2001,17.7,14.25
LOWER,9/18/2001,17.205,13.8
LOWER,9/19/2001,16.64,13.35
LOWER,9/20/2001,16.086,13.11
UPPER,10/11/2001,14.019,15.52
LOWER,12/3/2001,15.863,14.29
LOWER,7/18/2002,15.164,13.51
LOWER,7/19/2002,14.841,13.26
LOWER,7/22/2002,14.545,13.04
UPPER,4/22/2004,24.641,27.33
UPPER,4/23/2004,24.96,27.84
LOWER,7/14/2004,25.618,22.98
UPPER,10/6/2004,25.808,28.9
UPPER,10/7/2004,26.223,29.07
LOWER,2/2/2005,30.244,22.67
LOWER,2/3/2005,29.434,22.91
LOWER,2/4/2005,28.596,23.06
LOWER,2/7/2005,27.886,23.35
LOWER,2/8/2005,27.132,23.32
LOWER,2/9/2005,26.275,22.7
LOWER,2/10/2005,25.436,22.7
UPPER,4/19/2006,21.146,23.91
UPPER,4/20/2006,21.44,24.49
UPPER,4/21/2006,21.788,25
UPPER,4/24/2006,22.125,24.45
LOWER,1/4/2008,24.5,21.99
LOWER,1/8/2008,23.714,21.31
UPPER,1/31/2008,22.106,25.31
UPPER,2/1/2008,22.65,26.08
UPPER,2/4/2008,23.162,25.86
LOWER,7/9/2008,26.3,23.04
LOWER,7/10/2008,25.878,23.33
LOWER,11/19/2008,19.261,17.01
LOWER,11/20/2008,18.885,16.64
LOWER,3/5/2009,15.195,13.65
LOWER,3/6/2009,14.911,13.37
UPPER,4/22/2009,18.56,21.79
UPPER,4/23/2009,19.006,21.28
UPPER,4/24/2009,19.346,21.37
UPPER,10/8/2009,25.112,27.82
LOWER,8/8/2011,36.666,32.78
UPPER,4/30/2012,37.997,41.95
UPPER,5/2/2012,38.966,43.73
UPPER,5/3/2012,39.663,44.06
LOWER,11/4/2013,55.136,29.64
LOWER,11/5/2013,52.346,30.03
LOWER,11/6/2013,49.569,30.26
LOWER,11/7/2013,46.714,29.48
LOWER,11/8/2013,43.848,29.75
LOWER,11/11/2013,41.028,29.6
LOWER,11/12/2013,38.233,29.68
LOWER,11/13/2013,35.529,30.51
LOWER,8/25/2015,27.845,25.03
LOWER,9/18/2015,26.178,23.13
LOWER,9/21/2015,25.733,22.76
LOWER,10/21/2015,20.302,18.17
LOWER,10/22/2015,19.935,17.94
